Strategy,CAGR,Ann. Vol,Sharpe,Max DD,Calmar,bucket,target_dte,roll_dte,stop_loss_rolls,misses,exit_misses,transaction_costs_paid,borrow_paid
ATM/60/7,0.17680373338682331,0.39365138644426956,0.599871648832406,-0.27434194905616704,0.6444648147871314,ATM,60,7,38,0,9,0.4549,0.0854
ATM/60/10,0.13774842681193467,0.39534513331381677,0.5133555679115388,-0.31594232910335096,0.43599231290997553,ATM,60,10,34,0,11,0.4757,0.0854
ATM/60/14,-0.06117106208825451,0.43903927910472407,0.06371442891609937,-0.5483445904309263,-0.11155587773772356,ATM,60,14,33,0,13,0.4918,0.0854
ATM/60/21,-0.40323836159587634,1.0215188289826806,-0.020946556291525354,-0.9323934029570626,-0.43247663520249696,ATM,60,21,37,0,5,0.9295,0.0854
ATM/60/30,-0.40659121458042247,0.7200103203362038,-0.37749580649612724,-0.9125284527868927,-0.4455655199996002,ATM,60,30,33,0,13,1.147,0.0854
ATM/60/45,-1.0,7.7606396887359415,0.5247001331935355,-2.87900002014712,-0.3473428249399244,ATM,60,45,23,0,6,3.0303,0.0854
ATM/90/3,0.10406433860302311,0.54512421585021,0.44593047602133573,-0.4996687647883612,0.20826664770030284,ATM,90,3,37,0,2,0.6505,0.0854
ATM/90/5,0.2177231395507342,0.5137157716747661,0.6304592091570257,-0.4996687647883612,0.43573494061201246,ATM,90,5,37,0,5,0.6305,0.0854
ATM/90/7,0.2177231395507342,0.5137157716747661,0.6304592091570257,-0.4996687647883612,0.43573494061201246,ATM,90,7,37,0,5,0.6305,0.0854
ATM/90/10,0.08000588996432856,0.4966894763816529,0.39532989889523407,-0.4136903775364862,0.1933955786952581,ATM,90,10,30,0,1,0.5224,0.0854
ATM/90/14,-0.11125163377912517,0.7125773751636185,0.17596960283002724,-0.6373209248662486,-0.17456140138890466,ATM,90,14,32,0,3,0.6264,0.0854
ATM/90/21,-0.11475366663401787,0.7946204661090818,0.21618446080288228,-0.7630009616711702,-0.15039780078740342,ATM,90,21,33,0,3,0.6984,0.0854
ATM/90/30,-0.45159713777798305,1.1237322886679697,0.012317339924554284,-0.9350413434399724,-0.48297023542999584,ATM,90,30,27,0,11,0.7659,0.0854
ATM/90/45,-1.0,25.938868464650348,-0.3419687190276791,-1.7462432841737314,-0.5726578931257962,ATM,90,45,19,0,4,0.9643,0.0854
ATM/90/60,-1.0,11.991405326504825,-0.3928989314257284,-2.586438974292804,-0.38663197157915724,ATM,90,60,20,0,16,2.6475,0.0854
ATM/120/3,0.008148083932148387,0.4991353649298624,0.26586678685606563,-0.3962982627889968,0.02056048359840203,ATM,120,3,23,0,3,0.5199,0.0854
ATM/120/5,-0.04389526031405466,0.4976062786237771,0.15808841030652773,-0.41011284890914046,-0.10703215085996867,ATM,120,5,24,0,1,0.4822,0.0854
ATM/120/7,-0.04389526031405466,0.4976062786237771,0.15808841030652773,-0.41011284890914046,-0.10703215085996867,ATM,120,7,24,0,1,0.4822,0.0854
ATM/120/10,-0.072167373506553,0.5796739587384466,0.15541356783918425,-0.5677410682032715,-0.1271131816039676,ATM,120,10,21,0,3,0.4878,0.0854
ATM/120/14,-0.3402344749761834,0.78837872662157,-0.14029897317191747,-0.8121088974289081,-0.41895178842806297,ATM,120,14,19,0,0,0.4495,0.0854
ATM/120/21,-0.26159538557163176,0.7280125365323906,-0.056500001793592367,-0.7761023860001469,-0.33706298330022433,ATM,120,21,19,0,0,0.4631,0.0854
ATM/120/30,-0.2733394626599692,0.6661848227625855,-0.1513887753292104,-0.7345904153786688,-0.37209777984792713,ATM,120,30,21,0,9,0.5723,0.0854
ATM/120/45,-0.4082598969310812,0.6964880776337151,-0.40916111307596253,-0.8798413973803927,-0.4640153306568879,ATM,120,45,20,0,3,0.5792,0.0854
ATM/120/60,-1.0,9.128679510595994,0.7237101400407006,-1.137320919902007,-0.8792593035975821,ATM,120,60,24,0,3,0.9683,0.0854
ATM/150/3,-0.05706495369638498,0.690591284185367,0.2560077330381378,-0.5389842461542885,-0.10587499375640319,ATM,150,3,21,0,3,0.6619,0.0854
ATM/150/5,-0.15973715905917618,0.6413730050161103,0.044657908740756196,-0.5613784652738745,-0.28454450774353574,ATM,150,5,21,0,2,0.6887,0.0854
