Strategy,CAGR,Ann. Vol,Sharpe,Max DD,Calmar,bucket,target_dte,roll_dte,stop_loss_rolls,misses,exit_misses,transaction_costs_paid,borrow_paid
20% OTM/30/5,0.1581132032746484,0.39467590441630845,0.5669022743857429,-0.47321411919865686,0.33412613204018105,20% OTM,30,5,60,0,5,0.0,0.0
20% OTM/30/7,0.17282674978151902,0.39228097441009957,0.6004415956084475,-0.4391177325054041,0.3935772504459088,20% OTM,30,7,61,0,5,0.0,0.0
20% OTM/30/10,0.1773063376687789,0.4224255789326121,0.5967317849973687,-0.4022236427862721,0.4408153047407843,20% OTM,30,10,61,0,0,0.0,0.0
20% OTM/30/14,0.14776787509225353,0.4571920033838117,0.5268150602631894,-0.38724340674724467,0.3815891310673811,20% OTM,30,14,53,0,0,0.0,0.0
20% OTM/30/21,0.13587156021830427,0.41217687146701754,0.5128517523812455,-0.4193441766160271,0.3240096507712213,20% OTM,30,21,38,0,4,0.0,0.0
20% OTM/45/3,0.16420174023721334,0.5358691362193506,0.5454568615188871,-0.5528441156060409,0.29701273035566544,20% OTM,45,3,50,0,0,0.0,0.0
20% OTM/45/5,0.13212209757633953,0.46282347928778955,0.4978549405071724,-0.4375385465986651,0.3019667606509863,20% OTM,45,5,52,0,5,0.0,0.0
20% OTM/45/7,0.13212209757633953,0.46282347928778955,0.4978549405071724,-0.4375385465986651,0.3019667606509863,20% OTM,45,7,52,0,5,0.0,0.0
20% OTM/45/10,0.09122650437149904,0.5165244805787167,0.4238113960398106,-0.47154333681854554,0.19346366971696577,20% OTM,45,10,50,0,8,0.0,0.0
20% OTM/45/14,0.1732089260994485,0.4676113678255627,0.5736014586714405,-0.4043967051292898,0.4283143851136764,20% OTM,45,14,48,0,2,0.0,0.0
20% OTM/45/21,0.04564561882151086,0.5028272005976053,0.335237558301716,-0.5320711478446072,0.08578856231242553,20% OTM,45,21,48,0,0,0.0,0.0
20% OTM/45/30,0.035488846226729986,0.5870428572875185,0.34687242036628746,-0.6460472596119153,0.054932275771974265,20% OTM,45,30,34,3,4,0.0,0.0
20% OTM/60/3,0.054759317778905414,0.5531997271740833,0.3738465940709405,-0.5647449701767521,0.09696291365245276,20% OTM,60,3,41,0,2,0.0,0.0
20% OTM/60/5,0.22824362130944498,0.43457135460221585,0.6892961363697618,-0.39351147688601307,0.5800176988880033,20% OTM,60,5,43,2,4,0.0,0.0
20% OTM/60/7,0.22824362130944498,0.43457135460221585,0.6892961363697618,-0.39351147688601307,0.5800176988880033,20% OTM,60,7,43,2,4,0.0,0.0
