Strategy,CAGR,Ann. Vol,Sharpe,Max DD,Calmar,bucket,target_dte,roll_dte,stop_loss_rolls,misses
ATM/150/21,-0.08005075112333038,0.4427422220531759,0.031170187966131843,-0.37092290997259214,-0.21581506283676413,ATM,150,21,17,0
ATM/150/30,-0.1254569433628565,0.4705973762205974,-0.05193771966575692,-0.4699174322815358,-0.2669765681041878,ATM,150,30,15,0
ATM/150/45,-0.005783504938465245,0.3704339780061524,0.16953040601575384,-0.34987008053207125,-0.016530435896861703,ATM,150,45,19,0
ATM/150/60,0.041681849450008635,0.473960860963761,0.3132998164259856,-0.4465298632192912,0.09334616311997623,ATM,150,60,20,0
ATM/180/3,-0.05621691956503316,0.5370509701595119,0.15606899799974408,-0.5936703487814666,-0.09469383081102291,ATM,180,3,18,0
ATM/180/5,-0.08375136722232568,0.5401117947883618,0.1028700809909483,-0.6182500230536578,-0.1354652067923286,ATM,180,5,18,0
ATM/180/7,-0.08375136722232568,0.5401117947883618,0.1028700809909483,-0.6182500230536578,-0.1354652067923286,ATM,180,7,18,0
ATM/180/10,0.13167349417249663,0.3964823952894606,0.5094777335797953,-0.28800945133337363,0.4571846290560907,ATM,180,10,21,0
ATM/180/14,0.0025674633206773656,0.428893120912674,0.21976595638112215,-0.3023828389864379,0.008490770604850754,ATM,180,14,19,0
ATM/180/21,-0.038791440398361576,0.3940731438142739,0.09621508218629236,-0.3450412504675525,-0.11242551534286624,ATM,180,21,17,0
ATM/180/30,-0.06790943037363939,0.5252039761695915,0.12680550435169627,-0.3621652386758317,-0.18750952085278408,ATM,180,30,14,0
ATM/180/45,0.006617077936606153,0.3722889560697524,0.20424218491634155,-0.3672183470725582,0.01801946441226885,ATM,180,45,19,0
ATM/180/60,-0.00196468068073552,0.4248972276016167,0.20390330474576804,-0.48291861496419375,-0.004068347377500021,ATM,180,60,18,0
ATM/210/3,-0.025022861771548,0.5534558349032004,0.23027505751571006,-0.5182006547329356,-0.04828797791551228,ATM,210,3,17,0
ATM/210/5,-0.03811401819464422,0.5435628333251673,0.19942730691790372,-0.5277884887988855,-0.07221456891070546,ATM,210,5,17,0
ATM/210/7,-0.03811401819464422,0.5435628333251673,0.19942730691790372,-0.5277884887988855,-0.07221456891070546,ATM,210,7,17,0
ATM/210/10,0.12720420558380052,0.40618316279114436,0.49671132261184875,-0.2933663686186859,0.43360186848526944,ATM,210,10,21,0
ATM/210/14,-0.00921342492349786,0.4411576280383927,0.19851489073832015,-0.3427204011661683,-0.02688321118949298,ATM,210,14,19,0
ATM/210/21,0.008365311455239999,0.41151091341310897,0.22623198647767484,-0.2631167849249223,0.031793150169522465,ATM,210,21,16,0
ATM/210/30,-0.015015516182863897,0.3980772835753395,0.16248694585340923,-0.27511925505838364,-0.054578208928624146,ATM,210,30,12,0
ATM/210/45,0.08084317413646835,0.3797497440123367,0.3959514853863389,-0.1992346108322962,0.40576872561824767,ATM,210,45,16,0
