Strategy,CAGR,Ann. Vol,Sharpe,Max DD,Calmar,bucket,target_dte,roll_dte,stop_loss_rolls,misses,exit_misses,transaction_costs_paid,borrow_paid
10% OTM/90/45,0.02753206876049763,0.2990210952454218,0.23944253499988286,-0.4098920982383444,0.06716906444116974,10% OTM,90,45,17,0,32,0.158,0.0854
10% OTM/90/60,0.053048191533102695,0.27865454945258644,0.32394174534516773,-0.3479741187497424,0.15244866981401609,10% OTM,90,60,15,0,43,0.4256,0.0854
10% OTM/120/3,0.1515568930817508,0.31251879975412256,0.6082633889350304,-0.26326073400656536,0.5756912197850637,10% OTM,120,3,21,0,5,0.1158,0.0854
10% OTM/120/5,0.31871577258783335,0.36907053455950684,0.9321895131321477,-0.18498355421923784,1.72294112270164,10% OTM,120,5,23,0,6,0.1463,0.0854
10% OTM/120/7,0.31871577258783335,0.36907053455950684,0.9321895131321477,-0.18498355421923784,1.72294112270164,10% OTM,120,7,23,0,6,0.1463,0.0854
10% OTM/120/10,0.20747668487985838,0.36330635876125356,0.7002807752000512,-0.3049832049906771,0.6802888863542523,10% OTM,120,10,21,0,8,0.1368,0.0854
10% OTM/120/14,0.030237722386603272,0.3210653621226229,0.25217876520250365,-0.3897224032723028,0.07758784748506203,10% OTM,120,14,18,0,12,0.0814,0.0854
10% OTM/120/21,0.0920179100044014,0.3291213599117928,0.4320859131797149,-0.2805993683247059,0.3279334182175332,10% OTM,120,21,18,0,17,0.095,0.0854
10% OTM/120/30,0.1295534684683628,0.35190255196216264,0.5218257442257845,-0.28286880769971856,0.4579984252130451,10% OTM,120,30,17,0,30,0.1629,0.0854
10% OTM/120/45,0.10211543912698606,0.34071987054899916,0.45690958598102677,-0.3634111393917563,0.28099149436612586,10% OTM,120,45,17,0,33,0.1226,0.0854
10% OTM/120/60,0.12696712227380957,0.3199233149966376,0.5344668241807011,-0.25782075589772335,0.4924627648061703,10% OTM,120,60,18,0,45,0.2117,0.0854
10% OTM/150/3,0.14911409892245442,0.3141882299666147,0.6001822212234946,-0.24329448779235685,0.6128955089591589,10% OTM,150,3,18,0,6,0.2441,0.0854
10% OTM/150/5,0.32402868438939625,0.3626472368754106,0.9531589251225809,-0.18304530856801537,1.7702102661046608,10% OTM,150,5,19,0,7,0.1562,0.0854
10% OTM/150/7,0.32402868438939625,0.3626472368754106,0.9531589251225809,-0.18304530856801537,1.7702102661046608,10% OTM,150,7,19,0,7,0.1562,0.0854
10% OTM/150/10,0.21632545787272206,0.3657837437908152,0.7177352924224695,-0.30709395817393037,0.7044275932976861,10% OTM,150,10,15,0,9,0.1483,0.0854
10% OTM/150/14,0.17950619129583045,0.35872430631736646,0.6399521514017409,-0.24067086311822472,0.7458575955979002,10% OTM,150,14,15,0,10,0.0955,0.0854
10% OTM/150/21,0.007013307264592816,0.37135130479255285,0.20376131003231907,-0.4173803925618027,0.01680315460327796,10% OTM,150,21,14,0,15,0.1548,0.0854
10% OTM/150/30,0.06708048586870818,0.36389027260004786,0.35833225142085934,-0.3514457955396182,0.19087007646715823,10% OTM,150,30,13,0,21,0.1446,0.0854
10% OTM/150/45,0.0644228796347992,0.36634921146496136,0.3536668705241097,-0.3863587232407917,0.1667436911852737,10% OTM,150,45,13,0,33,0.0962,0.0854
10% OTM/150/60,0.16875527710529203,0.31530129197855955,0.652558151316293,-0.21866848741604517,0.7717402681082859,10% OTM,150,60,17,0,43,0.1487,0.0854
10% OTM/180/3,0.17512499643971502,0.32452269766332836,0.6605112901886443,-0.17696793430917934,0.9895860350257322,10% OTM,180,3,18,0,6,0.2635,0.0854
10% OTM/180/5,0.00982105947982892,0.43916204868883696,0.2379817130709545,-0.4745076256486751,0.02069736912321072,10% OTM,180,5,15,0,6,0.1112,0.0854
10% OTM/180/7,0.00982105947982892,0.43916204868883696,0.2379817130709545,-0.4745076256486751,0.02069736912321072,10% OTM,180,7,15,0,6,0.1112,0.0854
10% OTM/180/10,0.024200925513665705,0.4364630463898019,0.2692029069777777,-0.4261312552054196,0.056792186017896006,10% OTM,180,10,12,0,10,0.0813,0.0854
10% OTM/180/14,0.22145350113622708,0.3693342684961775,0.727152867827021,-0.23690282845351995,0.934786226833404,10% OTM,180,14,12,0,10,0.0949,0.0854
10% OTM/180/21,0.03662589790649373,0.3586135904006938,0.2788979638635428,-0.32540519259532275,0.11255474325525615,10% OTM,180,21,12,0,15,0.1602,0.0854
10% OTM/180/30,0.06681095766128209,0.3649868956828325,0.35762763819458493,-0.35478456134970426,0.18831416284607666,10% OTM,180,30,13,0,21,0.1457,0.0854
10% OTM/180/45,0.07923480930410753,0.36043790471666887,0.3921243774280472,-0.3678200865822997,0.2154172982784581,10% OTM,180,45,13,0,33,0.0954,0.0854
10% OTM/180/60,0.1314675245835799,0.32891240537482325,0.5396566737009106,-0.25032261500749287,0.525192358587516,10% OTM,180,60,15,0,44,0.1432,0.0854
20% OTM/30/3,0.3139187116306881,0.4537128435763338,0.8256695520816485,-0.39946853031953633,0.7858409056142254,20% OTM,30,3,59,0,3,0.1347,0.0854
20% OTM/30/5,0.13651806088802965,0.39707187282747436,0.5184192884682579,-0.509826370627543,0.26777363579681096,20% OTM,30,5,56,0,6,0.1531,0.0854
20% OTM/30/7,0.151784325578183,0.3942934912189956,0.553446944665635,-0.47591564043361456,0.31893115645430314,20% OTM,30,7,57,0,6,0.1544,0.0854
20% OTM/30/10,0.14592776087507064,0.4406400882387806,0.5278345851494938,-0.43566632050424303,0.33495304550090743,20% OTM,30,10,58,0,0,0.1509,0.0854
20% OTM/30/14,0.10736067394571425,0.4878456282267208,0.4486183486701533,-0.39946853031953633,0.26875877771857537,20% OTM,30,14,51,0,0,0.1811,0.0854
20% OTM/30/21,0.04387873780138918,0.4687787257607416,0.3211414096126457,-0.47848834291599784,0.0917028355047981,20% OTM,30,21,38,0,4,0.3584,0.0854
20% OTM/45/3,0.13328137955609098,0.5742451800953072,0.49711856960506046,-0.5761018448854692,0.2313503779571956,20% OTM,45,3,47,0,6,0.1311,0.0854
20% OTM/45/5,0.19124827360788066,0.4980883165954452,0.595438959321518,-0.4547616235950199,0.42054620197722203,20% OTM,45,5,48,0,5,0.1551,0.0854
20% OTM/45/7,0.19124827360788066,0.4980883165954452,0.595438959321518,-0.4547616235950199,0.42054620197722203,20% OTM,45,7,48,0,5,0.1551,0.0854
20% OTM/45/10,0.11966269551818498,0.5098057001043981,0.47416679781780136,-0.4508134778598615,0.26543726262634715,20% OTM,45,10,44,0,8,0.1515,0.0854
20% OTM/45/14,0.15085978223127272,0.5000203865361553,0.5287032943049204,-0.4508134778598615,0.3346390239871412,20% OTM,45,14,43,0,2,0.1863,0.0854
20% OTM/45/21,-0.024424681441968965,0.5799675606227833,0.2377837538267993,-0.6394654311193282,-0.038195468047765614,20% OTM,45,21,45,0,0,0.2444,0.0854
20% OTM/45/30,-0.07125738427463635,0.7278727711803807,0.25044013541327076,-0.7233678647462771,-0.09850781013009202,20% OTM,45,30,30,3,4,0.324,0.0854
20% OTM/60/3,-0.015124034725511715,0.6420067053059968,0.29752348763268904,-0.659729561497924,-0.022924597605073826,20% OTM,60,3,42,0,5,0.1446,0.0854
20% OTM/60/5,0.16154943742523376,0.513690180271368,0.5448449161116117,-0.4915137794519432,0.32867733149896144,20% OTM,60,5,45,2,9,0.1703,0.0854
20% OTM/60/7,0.16154943742523376,0.513690180271368,0.5448449161116117,-0.4915137794519432,0.32867733149896144,20% OTM,60,7,45,2,9,0.1703,0.0854
20% OTM/60/10,0.16152328064428478,0.4652730180864333,0.5524250707912505,-0.4155818716181833,0.3886677732485036,20% OTM,60,10,34,0,1,0.1602,0.0854
20% OTM/60/14,0.03468432832850055,0.4914001613418165,0.3094603832482489,-0.48082842669726567,0.07213452117783822,20% OTM,60,14,35,0,3,0.1928,0.0854
20% OTM/60/21,0.1002518129111385,0.5090599061695553,0.43823760313228594,-0.4155818716181833,0.2412324015019718,20% OTM,60,21,39,0,3,0.2368,0.0854
20% OTM/60/30,0.06765443508812519,0.4431334167564994,0.36689405164457023,-0.599020627884826,0.11294174513992386,20% OTM,60,30,27,3,22,0.2845,0.0854
20% OTM/60/45,-0.08665167773498261,0.395436775052576,-0.035548216487253634,-0.6150994368528837,-0.14087425958041888,20% OTM,60,45,15,3,35,0.5065,0.0854
20% OTM/90/3,-0.1101894382417461,0.7213518896867928,0.18599194442933034,-0.6593626459639642,-0.16711507531739705,20% OTM,90,3,34,0,2,0.1765,0.0854
20% OTM/90/5,0.041006619970716196,0.6315508627065163,0.36481454827738224,-0.5612599228335193,0.07306172826966582,20% OTM,90,5,34,1,5,0.1862,0.0854
20% OTM/90/7,0.041006619970716196,0.6315508627065163,0.36481454827738224,-0.5612599228335193,0.07306172826966582,20% OTM,90,7,34,1,5,0.1862,0.0854
20% OTM/90/10,-0.19878434790719113,0.6622395199378989,-0.00855462860851611,-0.697665286090013,-0.28492796168955997,20% OTM,90,10,31,0,1,0.168,0.0854
20% OTM/90/14,-0.24067248643291295,0.7825533130550036,0.03255257065161782,-0.6972784271494027,-0.3451598056988864,20% OTM,90,14,29,0,3,0.1806,0.0854
20% OTM/90/21,0.0508273678890081,0.6386257416002709,0.3974179559556472,-0.560841117947744,0.0906270354695069,20% OTM,90,21,30,0,4,0.1902,0.0854
20% OTM/90/30,-0.009385706319734344,0.4777189500952013,0.2157938764748694,-0.599020627884826,-0.01566841922101377,20% OTM,90,30,22,3,30,0.1843,0.0854
20% OTM/90/45,-0.06480639381845421,0.3851441292921165,0.016154678581018586,-0.5577747563452244,-0.11618739120266584,20% OTM,90,45,15,3,34,0.1764,0.0854
20% OTM/90/60,0.16283489275541774,0.30455340740625453,0.6500588788454539,-0.3378827481237586,0.48192721782816533,20% OTM,90,60,17,3,49,0.5228,0.0854
20% OTM/120/3,0.01983316013867853,0.5144839853856129,0.2917093884912457,-0.4375995505885102,0.045322624559384725,20% OTM,120,3,27,0,3,0.1433,0.0854
20% OTM/120/5,-0.020908932474478226,0.5222127989594182,0.21724721451804993,-0.4112258681185169,-0.05084537256895568,20% OTM,120,5,26,2,1,0.1262,0.0854
20% OTM/120/7,-0.020908932474478226,0.5222127989594182,0.21724721451804993,-0.4112258681185169,-0.05084537256895568,20% OTM,120,7,26,2,1,0.1262,0.0854
